               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045447,            0.065364,            0.016449,             0.67019,             0.60443,             0.68218,             0.44843,            0.041351,            0.038265,            0.010911,              0.0937,              0.0007,              0.0007
                   1,            0.043832,            0.061739,            0.017214,             0.74663,             0.62649,             0.72472,              0.4838,            0.040442,             0.03709,           0.0093701,            0.086485,           0.0014851,           0.0014851
                   2,             0.04476,            0.070139,            0.015991,             0.77641,             0.64574,             0.74933,             0.48494,            0.040199,            0.036181,           0.0083066,            0.079254,           0.0022545,           0.0022545
                   3,            0.044048,            0.062046,            0.013606,             0.75932,             0.66892,             0.76154,             0.50196,            0.040249,            0.035921,           0.0075628,            0.072008,           0.0030079,           0.0030079
                   4,            0.044543,            0.060823,            0.013252,             0.77959,             0.69783,             0.77809,             0.51268,            0.040031,            0.035185,           0.0068912,            0.064746,           0.0037456,           0.0037456
                   5,            0.045228,            0.056129,            0.013653,                0.78,             0.71346,             0.79197,             0.49753,            0.041993,            0.033515,           0.0063297,            0.057467,           0.0044673,           0.0044673
                   6,            0.045317,             0.05046,            0.013331,              0.7706,             0.71748,             0.78282,              0.4698,            0.043325,            0.033272,           0.0060823,            0.050173,           0.0051733,           0.0051733
                   7,            0.047804,            0.060126,            0.010304,             0.79218,             0.71281,              0.7965,             0.49074,             0.04334,            0.032712,           0.0055158,            0.042863,           0.0058634,           0.0058634
                   8,            0.047948,            0.058353,             0.01239,             0.76561,             0.72542,              0.8007,             0.48359,            0.045223,            0.032671,           0.0053134,            0.035538,           0.0065377,           0.0065377
                   9,             0.04582,             0.05473,            0.010072,             0.73692,             0.78111,             0.81057,             0.50606,            0.042903,            0.031996,            0.005229,            0.028196,           0.0071961,           0.0071961
                  10,            0.047535,            0.062417,            0.010282,             0.73529,             0.76917,             0.79819,             0.46882,            0.048442,            0.030733,           0.0051103,            0.020839,           0.0078387,           0.0078387
                  11,            0.048111,            0.055146,            0.009805,             0.77325,             0.75872,             0.81008,              0.5154,            0.044534,            0.030243,           0.0051604,            0.013465,           0.0084655,           0.0084655
                  12,            0.047164,            0.049638,            0.011732,             0.79838,             0.77541,             0.80036,             0.48762,            0.045265,            0.029616,           0.0050615,            0.008812,            0.008812,            0.008812
                  13,            0.046681,            0.055705,             0.01122,             0.81126,             0.75518,             0.82196,              0.5154,            0.044034,            0.029425,           0.0051845,            0.008812,            0.008812,            0.008812
                  14,            0.045738,            0.048467,           0.0098107,             0.82762,             0.75923,             0.83106,             0.52886,            0.043184,            0.029197,           0.0051508,            0.008713,            0.008713,            0.008713
                  15,            0.043924,            0.051677,           0.0093156,             0.81309,             0.77053,             0.83045,             0.49923,            0.044982,            0.029375,           0.0049543,            0.008614,            0.008614,            0.008614
                  16,            0.047598,             0.04866,           0.0097318,             0.79233,             0.78974,             0.83849,             0.52984,            0.041395,            0.029083,           0.0050381,            0.008515,            0.008515,            0.008515
                  17,            0.043496,            0.048502,           0.0098943,             0.80507,             0.79539,             0.85342,              0.5649,            0.040623,            0.028891,           0.0049772,            0.008416,            0.008416,            0.008416
                  18,            0.042769,            0.048845,           0.0095907,             0.77509,             0.81417,             0.85258,             0.55245,            0.040036,            0.028839,            0.005128,            0.008317,            0.008317,            0.008317
                  19,            0.041243,            0.049141,            0.010414,             0.85457,             0.75092,             0.85651,             0.53335,            0.042601,            0.028791,           0.0048438,            0.008218,            0.008218,            0.008218
                  20,            0.043607,            0.046936,            0.009625,             0.81797,             0.81505,             0.86188,              0.5413,            0.042017,            0.027574,           0.0044209,            0.008119,            0.008119,            0.008119
                  21,            0.044899,            0.045624,           0.0086609,             0.82778,             0.83034,             0.87445,             0.54639,            0.041079,            0.027798,           0.0044359,             0.00802,             0.00802,             0.00802
                  22,            0.043576,            0.049826,           0.0091323,             0.76676,             0.84592,             0.86553,             0.54705,            0.041658,            0.027425,           0.0044113,            0.007921,            0.007921,            0.007921
                  23,            0.042718,            0.045975,           0.0081644,             0.78858,             0.85237,              0.8799,             0.58322,            0.039866,            0.026965,           0.0044439,            0.007822,            0.007822,            0.007822
                  24,            0.039456,            0.048187,           0.0091575,             0.83426,             0.82149,             0.88296,             0.56966,            0.038644,            0.026824,           0.0042618,            0.007723,            0.007723,            0.007723
                  25,            0.042619,            0.040464,           0.0089686,             0.79993,              0.8326,             0.87052,             0.57967,            0.039522,              0.0272,           0.0042717,            0.007624,            0.007624,            0.007624
                  26,            0.041904,            0.050004,           0.0077358,             0.81713,             0.82559,              0.8792,             0.57749,            0.038246,            0.026556,           0.0041299,            0.007525,            0.007525,            0.007525
                  27,            0.041715,            0.052035,            0.007335,             0.84074,             0.81678,             0.89075,             0.59145,            0.036726,            0.026534,           0.0041066,            0.007426,            0.007426,            0.007426
                  28,            0.041467,            0.049602,           0.0088843,             0.82057,             0.83269,              0.8823,             0.58603,            0.038183,            0.026103,           0.0039616,            0.007327,            0.007327,            0.007327
                  29,            0.041154,            0.045503,           0.0081399,             0.82652,              0.8208,             0.89285,             0.58624,            0.037471,             0.02566,             0.00398,            0.007228,            0.007228,            0.007228
                  30,            0.042325,            0.044864,           0.0070463,             0.86689,             0.82723,             0.90223,             0.59543,            0.037693,            0.025364,           0.0039161,            0.007129,            0.007129,            0.007129
                  31,            0.040357,            0.050561,           0.0075963,             0.88234,             0.82876,              0.9025,              0.6119,            0.035618,            0.024764,           0.0038554,             0.00703,             0.00703,             0.00703
                  32,            0.040153,            0.044063,           0.0083971,              0.8646,             0.82064,             0.90355,             0.60138,            0.036044,             0.02504,           0.0039083,            0.006931,            0.006931,            0.006931
                  33,            0.039638,            0.047804,           0.0073663,             0.86725,             0.82952,             0.90343,             0.60526,            0.037211,             0.02484,           0.0038616,            0.006832,            0.006832,            0.006832
                  34,            0.040842,              0.0473,           0.0073967,             0.89658,             0.84169,             0.91131,             0.61241,             0.03538,            0.024546,           0.0038878,            0.006733,            0.006733,            0.006733
                  35,             0.03975,             0.04713,           0.0070588,             0.89065,             0.84683,              0.9097,             0.59566,            0.036386,            0.024251,           0.0038119,            0.006634,            0.006634,            0.006634
                  36,             0.04114,            0.045715,           0.0071301,             0.88742,             0.84219,             0.90924,             0.60768,            0.035354,             0.02393,           0.0037936,            0.006535,            0.006535,            0.006535
                  37,            0.039763,             0.04513,           0.0071091,             0.87982,             0.84856,             0.90816,             0.63309,            0.035372,             0.02364,            0.003785,            0.006436,            0.006436,            0.006436
                  38,            0.039703,            0.045323,           0.0066182,             0.86871,             0.84201,             0.90643,             0.62253,            0.034895,            0.024325,           0.0039007,            0.006337,            0.006337,            0.006337
                  39,            0.039914,            0.044846,           0.0067661,             0.90017,             0.84446,             0.92481,             0.62286,            0.034405,            0.024142,            0.003843,            0.006238,            0.006238,            0.006238
                  40,            0.038007,            0.043687,           0.0073348,             0.90457,             0.83446,             0.91901,             0.60939,            0.034831,            0.024499,            0.003819,            0.006139,            0.006139,            0.006139
                  41,            0.039015,            0.041751,           0.0072775,             0.89278,             0.84142,             0.91011,             0.63506,            0.034166,            0.023716,           0.0037355,             0.00604,             0.00604,             0.00604
                  42,            0.039498,            0.042768,           0.0066582,             0.85779,             0.85654,             0.90858,             0.63905,            0.034197,            0.023885,           0.0037627,            0.005941,            0.005941,            0.005941
                  43,            0.036712,            0.043595,           0.0064913,             0.85581,             0.87186,             0.92102,             0.65127,            0.033529,            0.023581,           0.0036892,            0.005842,            0.005842,            0.005842
                  44,            0.038291,            0.043876,           0.0072573,             0.89988,             0.83811,             0.92001,             0.64606,            0.033649,            0.023564,           0.0036498,            0.005743,            0.005743,            0.005743
                  45,            0.037432,             0.03733,           0.0070514,             0.88269,             0.87135,             0.92012,              0.6558,            0.032252,             0.02334,           0.0036133,            0.005644,            0.005644,            0.005644
                  46,            0.036916,             0.04128,           0.0059719,             0.90273,             0.85918,             0.92689,             0.64966,            0.032757,             0.02306,           0.0035239,            0.005545,            0.005545,            0.005545
                  47,            0.035403,            0.040565,           0.0063032,             0.87617,             0.86736,             0.92846,             0.64297,             0.03323,            0.023049,           0.0035073,            0.005446,            0.005446,            0.005446
                  48,            0.036912,            0.038932,           0.0060362,             0.90076,             0.86631,             0.92777,             0.64725,            0.032582,            0.022777,           0.0034278,            0.005347,            0.005347,            0.005347
                  49,            0.035612,             0.03922,           0.0058838,             0.89195,             0.87816,              0.9306,             0.63394,            0.033017,            0.022573,           0.0033374,            0.005248,            0.005248,            0.005248
                  50,            0.036494,             0.03773,           0.0067367,             0.90244,             0.88694,             0.93367,             0.66249,            0.032256,            0.022334,            0.003328,            0.005149,            0.005149,            0.005149
                  51,            0.037072,            0.043222,           0.0065786,             0.87172,             0.88181,             0.92807,             0.65896,            0.033193,            0.023074,           0.0033315,             0.00505,             0.00505,             0.00505
                  52,            0.037424,             0.04084,           0.0058793,             0.88384,             0.89801,             0.93921,             0.68346,            0.031824,            0.021989,            0.003263,            0.004951,            0.004951,            0.004951
                  53,            0.035489,            0.037992,           0.0062536,              0.9338,             0.85464,             0.93118,              0.6788,            0.031825,            0.021859,           0.0032677,            0.004852,            0.004852,            0.004852
                  54,            0.037705,            0.036975,            0.007376,             0.92761,             0.86037,             0.92693,             0.67966,            0.031541,            0.021952,           0.0032836,            0.004753,            0.004753,            0.004753
                  55,            0.037171,            0.039946,           0.0064852,             0.90815,             0.86486,             0.92682,             0.67732,            0.030966,            0.021929,           0.0032743,            0.004654,            0.004654,            0.004654
                  56,            0.036016,            0.040206,           0.0064722,             0.92474,             0.86843,             0.92764,             0.69416,            0.031263,            0.022102,           0.0032518,            0.004555,            0.004555,            0.004555
                  57,            0.035866,            0.035579,           0.0065289,             0.91937,             0.87282,             0.92846,             0.69433,            0.030719,             0.02181,           0.0031866,            0.004456,            0.004456,            0.004456
                  58,            0.035057,            0.043006,           0.0067583,             0.92903,             0.87647,             0.93786,             0.70431,            0.029613,            0.021743,           0.0031662,            0.004357,            0.004357,            0.004357
                  59,            0.035104,             0.03634,           0.0054416,             0.91384,             0.87621,             0.93351,              0.6878,            0.031115,            0.021945,           0.0031548,            0.004258,            0.004258,            0.004258
                  60,            0.035151,            0.037529,           0.0060745,             0.92093,              0.8759,             0.93322,             0.66447,            0.031217,            0.022209,           0.0031354,            0.004159,            0.004159,            0.004159
                  61,            0.034784,             0.04102,           0.0059476,             0.91611,              0.8822,             0.93662,             0.67473,            0.030912,            0.022005,           0.0030284,             0.00406,             0.00406,             0.00406
                  62,            0.035823,            0.038023,           0.0063253,             0.93201,             0.88055,             0.93676,             0.70117,             0.02945,            0.021521,            0.002992,            0.003961,            0.003961,            0.003961
                  63,            0.033678,            0.039889,           0.0053146,             0.92444,             0.88466,             0.93678,             0.68735,            0.030272,            0.021562,           0.0029615,            0.003862,            0.003862,            0.003862
                  64,            0.035027,            0.038577,            0.005264,             0.93159,             0.87589,             0.94984,             0.70562,            0.028825,            0.021057,           0.0029472,            0.003763,            0.003763,            0.003763
                  65,            0.033515,            0.040673,           0.0055948,             0.91434,             0.88393,             0.93886,             0.70774,            0.029076,            0.020975,           0.0029204,            0.003664,            0.003664,            0.003664
                  66,            0.031989,            0.035205,           0.0054036,             0.91937,             0.87112,             0.93697,             0.71349,            0.028469,            0.021012,           0.0028869,            0.003565,            0.003565,            0.003565
                  67,            0.032725,             0.04065,           0.0056106,             0.92173,              0.8843,             0.94297,             0.70906,             0.02848,            0.021018,           0.0028572,            0.003466,            0.003466,            0.003466
                  68,            0.033163,             0.03719,           0.0053755,             0.91163,              0.8988,             0.94264,             0.71866,            0.028528,            0.021051,           0.0028352,            0.003367,            0.003367,            0.003367
                  69,            0.032998,            0.041591,            0.005832,             0.92661,             0.89763,              0.9556,             0.71497,            0.028401,            0.021002,           0.0027973,            0.003268,            0.003268,            0.003268
                  70,            0.033613,            0.045957,           0.0052289,             0.92611,             0.89727,             0.95614,             0.69622,            0.029235,            0.021145,           0.0027712,            0.003169,            0.003169,            0.003169
                  71,            0.032754,            0.039435,           0.0050441,             0.93417,             0.88752,             0.95404,             0.71642,            0.028095,            0.020879,           0.0027699,             0.00307,             0.00307,             0.00307
                  72,            0.032712,            0.039936,           0.0055244,             0.92244,             0.89537,             0.95691,             0.73269,            0.027012,            0.020285,           0.0027749,            0.002971,            0.002971,            0.002971
                  73,            0.031063,            0.039165,           0.0054375,             0.92427,             0.88413,              0.9509,             0.72515,            0.027632,            0.020233,           0.0027427,            0.002872,            0.002872,            0.002872
                  74,            0.033122,            0.039289,           0.0052358,             0.93386,              0.8899,             0.95535,             0.73012,            0.027086,            0.019927,            0.002717,            0.002773,            0.002773,            0.002773
                  75,            0.032873,            0.041844,           0.0053261,             0.92843,             0.89778,              0.9554,             0.72604,            0.026882,            0.019812,           0.0026925,            0.002674,            0.002674,            0.002674
                  76,            0.033056,            0.034608,           0.0046973,             0.92652,             0.90117,             0.95653,             0.72423,            0.027402,            0.019787,           0.0026603,            0.002575,            0.002575,            0.002575
                  77,            0.031182,            0.035566,            0.004655,             0.92486,             0.89707,             0.95524,             0.73592,            0.026595,            0.019576,           0.0026207,            0.002476,            0.002476,            0.002476
                  78,            0.031381,            0.037656,           0.0047959,             0.92372,             0.89536,             0.95394,             0.73337,            0.026763,            0.019543,            0.002584,            0.002377,            0.002377,            0.002377
                  79,            0.032445,            0.038223,           0.0049731,             0.93886,             0.88624,             0.95663,              0.7375,            0.026206,            0.019314,           0.0025502,            0.002278,            0.002278,            0.002278
                  80,            0.029638,            0.031902,           0.0048375,             0.92301,             0.89288,             0.95042,             0.73748,            0.026263,            0.019274,           0.0025382,            0.002179,            0.002179,            0.002179
                  81,            0.032034,            0.040016,           0.0049124,             0.92647,             0.89236,             0.95272,             0.74655,            0.025941,            0.019085,           0.0025234,             0.00208,             0.00208,             0.00208
                  82,            0.033501,            0.033922,           0.0054003,             0.92549,             0.90174,             0.95424,             0.73598,            0.026428,            0.019164,           0.0024985,            0.001981,            0.001981,            0.001981
                  83,            0.029682,            0.037695,           0.0044066,             0.92232,              0.9003,             0.94001,             0.74468,            0.025693,            0.018982,           0.0024839,            0.001882,            0.001882,            0.001882
                  84,            0.031457,            0.036619,           0.0047833,             0.92009,             0.90004,             0.94768,             0.75551,             0.02517,            0.018904,           0.0024715,            0.001783,            0.001783,            0.001783
                  85,            0.027879,            0.032368,           0.0048685,             0.91912,             0.89867,              0.9564,             0.75366,            0.025367,            0.018934,           0.0024421,            0.001684,            0.001684,            0.001684
                  86,            0.032003,            0.037324,           0.0051241,             0.92885,             0.89547,             0.95501,             0.75662,            0.025323,            0.018877,           0.0024059,            0.001585,            0.001585,            0.001585
                  87,             0.02938,            0.034149,            0.004717,             0.88905,             0.91388,             0.95345,             0.75659,            0.025172,            0.018785,           0.0023808,            0.001486,            0.001486,            0.001486
                  88,            0.029011,            0.033131,           0.0042887,             0.92694,             0.88138,             0.95271,              0.7537,            0.025245,            0.018823,           0.0023575,            0.001387,            0.001387,            0.001387
                  89,            0.029555,            0.034066,           0.0048186,             0.93645,             0.87425,             0.95287,             0.75993,            0.024992,            0.018739,           0.0023385,            0.001288,            0.001288,            0.001288
                  90,            0.029746,            0.035224,           0.0052474,             0.92633,             0.88711,             0.95571,             0.76167,            0.024576,            0.018558,           0.0023193,            0.001189,            0.001189,            0.001189
                  91,            0.030369,            0.037091,           0.0046326,             0.92586,             0.88379,             0.95228,             0.76054,            0.024488,            0.018502,           0.0023064,             0.00109,             0.00109,             0.00109
                  92,             0.02887,            0.035679,           0.0044889,             0.93509,             0.87921,             0.94274,             0.76105,            0.024347,            0.018384,           0.0022876,            0.000991,            0.000991,            0.000991
                  93,            0.029484,            0.039115,           0.0041663,             0.93438,              0.8809,             0.94235,             0.76032,            0.024277,            0.018304,           0.0022833,            0.000892,            0.000892,            0.000892
                  94,            0.029767,             0.03732,           0.0051234,             0.93576,             0.88955,             0.94554,             0.76386,              0.0242,            0.018268,           0.0022769,            0.000793,            0.000793,            0.000793
                  95,            0.027571,            0.034224,           0.0042447,             0.93142,             0.89097,             0.95478,              0.7699,            0.023906,             0.01817,            0.002264,            0.000694,            0.000694,            0.000694
                  96,            0.028406,            0.034598,           0.0043872,             0.93815,             0.89057,             0.95519,             0.77283,             0.02384,            0.018089,           0.0022591,            0.000595,            0.000595,            0.000595
                  97,            0.030203,            0.038371,            0.004904,             0.93405,             0.89065,             0.94853,             0.76799,            0.023932,            0.018081,           0.0022567,            0.000496,            0.000496,            0.000496
                  98,            0.027825,            0.035779,           0.0048064,             0.93961,             0.88617,             0.95671,             0.77558,            0.023711,            0.017991,           0.0022504,            0.000397,            0.000397,            0.000397
                  99,            0.030391,            0.038497,           0.0044557,             0.93757,             0.88496,             0.95671,             0.78003,            0.023612,             0.01795,           0.0022449,            0.000298,            0.000298,            0.000298
